OPPORTUNITIES BY SALES STAGE



Results

Opportunity Name,Opportunity Amount,Sales Stage,Probability (%),Expected Close Date,assigned user id => Users User Name
"Pankaj- Composite Deck","Rs51,870.00","Closed Lost","0.00","19-12-2013","Faiza"
"Ipe Tile-Prabhakar","Rs160,000.00","Closed Lost","0.00","08-01-2013","Faiza"
"LWF-Waltz-Nembiyar","Rs80,000.00","Closed Lost","0.00","12-06-2013","Faiza"
"Irshad-LWF","Rs100,000.00","Closed Lost","0.00","13-05-2014","Faiza"
"LWF-Adarsh Garden","Rs30,000.00","Closed Lost","0.00","10-10-2012","Faiza"
"OWF","Rs0.00","Closed Lost","0.00","31-08-2012","Faiza"
"Vasu-Plot No.64","Rs0.00","Closed Lost","0.00","11-07-2013","Faiza"
"Babu Joseph","Rs100,000.00","Closed Lost","0.00","12-09-2012","Faiza"
"Pallavi-SWF","Rs50,000.00","Closed Lost","0.00","16-07-2013","Faiza"
"LWF-Design Concept","Rs40,000.00","Closed Lost","0.00","08-10-2012","Faiza"
"EWF-Merbau 3 Strips Muniraju","Rs150,000.00","Closed Lost","0.00","30-03-2013","Faiza"
"Elanza-Merbau - 3 Strips","Rs180,000.00","Closed Lost","0.00","29-06-2013","Faiza"
"Composite Deck Flooring","Rs0.00","Closed Lost","0.00","22-08-2013","Faiza"
"Nasir","Rs150,000.00","Closed Lost","0.00","20-04-2012","Faiza"
"SWF/EWF-Khizer","Rs300,000.00","Closed Lost","0.00","17-11-2012","Faiza"
"amaltas spa & HRC Chennai","Rs0.00","Closed Lost","0.00","01-08-2013","Faiza"
"Showroom Display-Raja VN-Ingenius","Rs50,000.00","Closed Lost","0.00","13-05-2014","Faiza"
"Yogesh- Autumn Oak","Rs15,000.00","Closed Lost","0.00","19-05-2014","Faiza"
"Changes In Qty","Rs0.00","Closed Lost","0.00","26-12-2012","Faiza"
"Resto Bar - EWF-Chestnut","Rs30,000.00","Closed Lost","0.00","11-11-2013","Faiza"
"Vinith-OWF-LWF","Rs0.00","Closed Lost","0.00","30-04-2012","Faiza"
"Raj Lake View-Snn Builder & Fulcrum","Rs200,000.00","Closed Lost","0.00","26-12-2012","Faiza"
"Rastrith- EW-Walnut","Rs50,000.00","Closed Lost","0.00","01-08-2013","Faiza"
"Ipe-Salarpuria","Rs50,000.00","Closed Lost","0.00","22-09-2012","Faiza"
"Mirudul-Basic Oak","Rs50,000.00","Closed Lost","0.00","01-08-2013","Faiza"
"VInyl","Rs0.00","Closed Lost","0.00","05-02-2013","Faiza"
"Strandwoven Bamboo & Horizntl Coffe Bmbo-Pranith","Rs80,000.00","Closed Lost","0.00","06-03-2014","Faiza"
"LWF-Indumathi","Rs50,000.00","Closed Lost","0.00","04-10-2012","Faiza"
"Rajendra Shah","Rs800,000.00","Closed Lost","0.00","20-06-2012","Faiza"
"LWF-Teak Plank-Akkrutha Cosn","Rs30,000.00","Closed Lost","0.00","10-05-2013","Faiza"
"Narayan Swamy","Rs700,000.00","Closed Lost","0.00","20-06-2012","Faiza"
"Showroom Display-Crystal decor","Rs30,926.37","Closed Lost","0.00","24-08-2013","Faiza"
"LWF-Shrike","Rs0.00","Closed Lost","0.00","31-03-2012","Faiza"
"EWF-Prabhu","Rs70,000.00","Closed Lost","0.00","11-10-2012","Faiza"
"LWF-Sunil","Rs40,000.00","Closed Lost","0.00","31-03-2012","Faiza"
"Additional SS Strip","Rs3,000.00","Closed Lost","0.00","12-06-2013","Faiza"
"FLAME SYCAMORE","Rs5,000.00","Closed Lost","0.00","29-06-2013","Faiza"
"LWF-Priyanka","Rs30,000.00","Closed Lost","0.00","15-03-2012","Faiza"
"Madan Patel-Samruddhi Trust-SW-Maple","Rs100,000.00","Closed Lost","0.00","24-12-2013","Faiza"
"Replacement Flooring - Kalpa Shah","Rs50,000.00","Closed Lost","0.00","29-07-2013","Faiza"
"Ar.Pushpa","Rs0.00","Closed Lost","0.00","04-08-2012","Faiza"
"SWF-Vittal","Rs300,000.00","Closed Lost","0.00","25-10-2012","Faiza"
"Anu-LWF-Saddle brown Oak","Rs20,889.06","Closed Lost","0.00","13-06-2013","Faiza"
"Nova Hospital","Rs400,968.00","Closed Lost","0.00","05-02-2014","Gangaraju"
"Individual 3 Bed Room Flat","Rs155,348.38","Closed Lost","0.00","21-05-2014","Gangaraju"
"Vijaynagar Colony Site","Rs44,534.00","Closed Lost","0.00","20-12-2013","Gangaraju"
"Outdoor Wood IPE Tile Smooth","Rs200,000.00","Closed Lost","0.00","29-05-2014","Gangaraju"
"Home Theatre","Rs112,962.00","Closed Lost","0.00","24-01-2014","Gangaraju"
"Individual Flat","Rs91,708.00","Closed Lost","0.00","23-04-2014","Gangaraju"
"Individual Home","Rs732,513.00","Closed Lost","0.00","27-03-2014","Gangaraju"
"Individual Home.1","Rs146,178.00","Closed Lost","0.00","27-03-2014","Gangaraju"
"laminate flooring for home","Rs75,000.00","Closed Lost","0.00","29-05-2014","Gangaraju"
"Wall Cladding","Rs20,000.00","Closed Lost","0.00","21-05-2014","Gangaraju"
"LAMINATE WOOD FLOORING - RIO","Rs100,000.00","Closed Lost","0.00","29-05-2014","Gangaraju"
"Vidhi Residency @ Hotel","Rs896,000.00","Closed Lost","0.00","20-01-2014","Gautam"
"RAVI HULIKAL RAYAPPA","Rs300,000.00","Closed Lost","0.00","13-05-2014","Harikrishnan"
"1020 sft laminate and vinyl","Rs180,000.00","Closed Lost","0.00","18-11-2011","Harikrishnan"
"V.Sathya Narayana Reddy","Rs200,000.00","Closed Lost","0.00","13-05-2014","Harikrishnan"
"Prabha","Rs50,000.00","Closed Lost","0.00","20-01-2012","Harikrishnan"
"468.74 sft laminate flooring","Rs67,000.00","Closed Lost","0.00","10-11-2011","Harikrishnan"
"500 laminate flooring (Honey oak	 Tobacco sherwood","Rs80,000.00","Closed Lost","0.00","23-11-2011","Harikrishnan"
"Videesha","Rs30,000.00","Closed Lost","0.00","13-05-2014","Harikrishnan"
"435 sqft of Vinyl flooring","Rs69,000.00","Closed Lost","0.00","26-09-2011","Harikrishnan"
"PRAVEENA BADURI","Rs170,000.00","Closed Lost","0.00","31-03-2012","Harikrishnan"
"Else Interiors(Laminate Walnut)","Rs100,000.00","Closed Lost","0.00","29-02-2012","Harikrishnan"
"RJ Garden (Indira Nagar)","Rs200,000.00","Closed Lost","0.00","13-05-2014","Harikrishnan"
"1300 sft solid wood flooring","Rs600,000.00","Closed Lost","0.00","26-11-2011","Harikrishnan"
"1000 sft laminate and vinyl","Rs200,000.00","Closed Lost","0.00","18-11-2011","Harikrishnan"
"1000sqft laminate flooring","Rs600,000.00","Closed Lost","0.00","13-05-2014","Harikrishnan"
"225 sft solid wood flooring","Rs46,000.00","Closed Lost","0.00","03-11-2011","Harikrishnan"
"1000 sft vinyl flooring","Rs200,000.00","Closed Lost","0.00","06-06-2013","Harikrishnan"
"Brickwork(For informed Investment Decisions)","Rs120,000.00","Closed Lost","0.00","13-05-2014","Harikrishnan"
"100 sft Skirting requirment","Rs7,000.00","Closed Lost","0.00","16-11-2011","Harikrishnan"
"Suede Sherwood Oak","Rs33,240.00","Closed Lost","0.00","13-08-2013","Hemanth"
"Sangeeth K.C.","Rs10,592.00","Closed Lost","0.00","16-03-2014","Hemanth"
"Believers Church","Rs2,225,500.00","Closed Lost","0.00","17-05-2014","Hemanth"
"Floor and Wall","Rs10,000,000.00","Closed Lost","0.00","17-05-2014","Hemanth"
"Nestle  Manesear","Rs3,500,000.00","Closed Lost","0.00","12-06-2013","Indra"
"stella 010	 011","Rs60,000.00","Closed Lost","0.00","08-10-2012","Indra"
"GTM","Rs400,000.00","Closed Lost","0.00","12-06-2013","Indra"
"Conscient School","Rs7,500,000.00","Closed Lost","0.00","28-02-2014","Indra"
"Philips","Rs100,000.00","Closed Lost","0.00","22-08-2013","Indra"
"Banboo flooring","Rs230,000.00","Closed Lost","0.00","22-08-2013","Indra"
"TV TODAY","Rs1,800,000.00","Closed Lost","0.00","08-10-2012","Indra"
"Barclays","Rs600,000.00","Closed Lost","0.00","27-12-2012","Indra"
"ENI INDIA LTD.","Rs50,000.00","Closed Lost","0.00","27-12-2012","Indra"
"Taj Gurgaon","Rs6,000,000.00","Closed Lost","0.00","30-05-2013","Indra"
"HNBC-Gurgaon","Rs1,200,000.00","Closed Lost","0.00","22-08-2013","Indra"
"Nestle  Manesear-Outdoor","Rs450,000.00","Closed Lost","0.00","22-08-2013","Indra"
"Finesse","Rs800,000.00","Closed Lost","0.00","22-08-2013","Indra"
"M.R.DECOR-TEAK","Rs950,000.00","Closed Lost","0.00","12-06-2013","Indra"
"Uflex","Rs1,200,000.00","Closed Lost","0.00","12-06-2013","Indra"
"Cafe Coffee Day","Rs125,000.00","Closed Lost","0.00","12-06-2013","Indra"
"Nipun Purohit","Rs20,000.00","Closed Lost","0.00","21-09-2012","Jason"
"Delta Corp LTD","Rs2,600,000.00","Closed Lost","0.00","21-08-2013","Jason"
"Pranav Munin","Rs50,000.00","Closed Lost","0.00","10-09-2012","Jason"
"isosceles","Rs146,250.00","Closed Lost","0.00","10-09-2012","Jason"
"Mihir Kotak","Rs150,000.00","Closed Lost","0.00","10-09-2012","Jason"
"Amee Shah","Rs12,000.00","Closed Lost","0.00","10-09-2012","Jason"
"Gopal Kabra","Rs40,000.00","Closed Lost","0.00","10-09-2012","Jason"
"Luthra & Luthra","Rs70,000.00","Closed Lost","0.00","10-09-2012","Jason"
"Jayant Jholapara","Rs15,000.00","Closed Lost","0.00","10-09-2012","Jason"
"Shringar","Rs30,000.00","Closed Lost","0.00","10-09-2012","Jason"
"J W MARRIOTT HOTEL","Rs400,000.00","Closed Lost","0.00","21-08-2013","Jason"
"MAPLE TREE PROPERTY PVT. LTD.","Rs50,000.00","Closed Lost","0.00","16-04-2012","Jason"
"Kamlesh Aggarwal","Rs30,000.00","Closed Lost","0.00","10-09-2012","Jason"
"AMERICAN SCHOOL OF BOMBAY","Rs4,830,000.00","Closed Lost","0.00","30-04-2012","Jason"
"Amit Modi","Rs225,000.00","Closed Lost","0.00","21-08-2013","Jason"
"Pankaj Kumar","Rs400,000.00","Closed Lost","0.00","21-08-2013","Jason"
"colour with asian paints","Rs100,000.00","Closed Lost","0.00","10-09-2012","Jason"
"Ambuja conference room-SWF","Rs100,000.00","Closed Lost","0.00","10-07-2013","Joydeep"
"ARTIFICIAL GRASS","Rs11,000.00","Closed Lost","0.00","21-06-2014","Joydeep"
"EWF order","Rs175,000.00","Closed Lost","0.00","31-01-2013","Joydeep"
"DLF Outdoor Deck","Rs4,300,000.00","Closed Lost","0.00","16-03-2013","Joydeep"
"smoked oak","Rs16,811.00","Closed Lost","0.00","20-10-2012","Joydeep"
"SHOW ROOM","Rs0.00","Closed Lost","0.00","20-10-2012","Joydeep"
"HOTEL REQUIREMENT","Rs300,000.00","Closed Lost","0.00","08-11-2012","Joydeep"
"Ambuja SWF order","Rs4,800,000.00","Closed Lost","0.00","07-11-2012","Joydeep"
"coffee OAK","Rs120,000.00","Closed Lost","0.00","16-11-2013","Joydeep"
"Cosy brushed oak","Rs66,000.00","Closed Lost","0.00","12-12-2012","Joydeep"
"Mariegold SWF mock up order","Rs150,000.00","Closed Lost","0.00","01-10-2013","Joydeep"
"WALNUT EWF","Rs80,000.00","Closed Lost","0.00","03-07-2013","Joydeep"
"heritage","Rs70,000.00","Closed Lost","0.00","16-11-2013","Joydeep"
"LWF Order","Rs140,000.00","Closed Lost","0.00","07-09-2013","Joydeep"
"artificial grass","Rs54,000.00","Closed Lost","0.00","21-06-2014","Joydeep"
"Quest Mall LWF order","Rs30,000.00","Closed Lost","0.00","07-05-2013","Joydeep"
"Ballyganj Science Collage order","Rs150,000.00","Closed Lost","0.00","04-07-2012","Joydeep"
"Merlin IBIZA outdoor deck","Rs1,400,000.00","Closed Lost","0.00","10-07-2013","Joydeep"
"LWF - Basics Inner eye Order","Rs25,000.00","Closed Lost","0.00","16-05-2012","Joydeep"
"WALNUT","Rs200,000.00","Closed Lost","0.00","12-12-2012","Joydeep"
"Fort Group Deck Flooring","Rs1,500,000.00","Closed Lost","0.00","16-03-2013","Joydeep"
"Siddha Group SWF Order","Rs25,000.00","Closed Lost","0.00","18-04-2012","Joydeep"
"BANGLOW IN BALLYGUNGE","Rs150,000.00","Closed Lost","0.00","09-07-2013","Joydeep"
"ITC Vinyl order","Rs18,600.00","Closed Lost","0.00","10-07-2013","Joydeep"
"SHOWROOM LEGACY","Rs0.00","Closed Lost","0.00","20-10-2012","Joydeep"
"LWF Offer","Rs100,000.00","Closed Lost","0.00","08-11-2012","Joydeep"
"Mani Group outdoor deck order","Rs500,000.00","Closed Lost","0.00","07-09-2013","Joydeep"
"&#039;"Belani&#039;&#039;s New Residential Unit"&#039;","Rs150,000.00","Closed Lost","0.00","12-12-2012","Joydeep"
"SWF Offer","Rs150,000.00","Closed Lost","0.00","25-03-2012","Joydeep"
"Urbana EWF Mock up","Rs700,000.00","Closed Lost","0.00","31-01-2013","Joydeep"
"Bolpur SWF stage order - Art E Mide","Rs225,000.00","Closed Lost","0.00","16-03-2013","Joydeep"
"IOCL Paradwip LWF order","Rs225,000.00","Closed Lost","0.00","10-07-2013","Joydeep"
"basic","Rs40,000.00","Closed Lost","0.00","15-07-2013","Joydeep"
"SMOKED OAK","Rs22,251.00","Closed Lost","0.00","20-10-2012","Joydeep"
"iiswbm2","Rs97,354.00","Closed Lost","0.00","16-11-2013","Joydeep"
"BRAZILIAN WALNUT","Rs35,000.00","Closed Lost","0.00","08-11-2012","Joydeep"
"Mr Rohit Dalmia","Rs840,000.00","Closed Lost","0.00","15-07-2013","Joydeep"
"NEW Order","Rs56,443.00","Closed Lost","0.00","08-11-2012","Joydeep"
"Basic Lwf","Rs85,000.00","Closed Lost","0.00","08-11-2012","Joydeep"
"IPE TILE OFFER","Rs80,000.00","Closed Lost","0.00","20-10-2012","Joydeep"
"Fort Group LWF order","Rs2,200,000.00","Closed Lost","0.00","16-03-2013","Joydeep"
"LWF Order","Rs100,000.00","Closed Lost","0.00","30-07-2012","Joydeep"
"Ambuja Realty new vinyl order","Rs180,000.00","Closed Lost","0.00","10-07-2013","Joydeep"
"basic teak","Rs120,000.00","Closed Lost","0.00","16-11-2013","Joydeep"
"OAK PLANK SWF","Rs100,000.00","Closed Lost","0.00","08-11-2012","Joydeep"
"LWF Order","Rs20,000.00","Closed Lost","0.00","06-03-2012","Joydeep"
"DLF Bamboo SWF","Rs175,000.00","Closed Lost","0.00","16-03-2013","Joydeep"
"Gym flooring for hotel","Rs300,000.00","Closed Lost","0.00","03-07-2013","Joydeep"
"Salient new office SWF order","Rs40,000.00","Closed Lost","0.00","01-10-2013","Joydeep"
"New LWF order","Rs23,500.00","Closed Lost","0.00","08-09-2012","Joydeep"
"basic merbau","Rs300,000.00","Closed Lost","0.00","07-09-2013","Joydeep"
"basic","Rs26,357.00","Closed Lost","0.00","08-11-2012","Joydeep"
"SMOKED OAK","Rs16,000.00","Closed Lost","0.00","08-11-2012","Joydeep"
"IPE","Rs120,000.00","Closed Lost","0.00","12-12-2012","Joydeep"
"REVELATION SHOWROOM","Rs150,000.00","Closed Lost","0.00","25-04-2013","Joydeep"
"Coal India - SWF","Rs0.00","Closed Lost","0.00","23-01-2014","Joydeep"
"Merlin LWF Order","Rs285,000.00","Closed Lost","0.00","01-10-2013","Joydeep"
"coffee oak","Rs30,000.00","Closed Lost","0.00","20-10-2012","Joydeep"
"IOCL Township Project - EWF","Rs1,200,000.00","Closed Lost","0.00","10-07-2013","Joydeep"
"SHOW ROOM","Rs154,671.00","Closed Lost","0.00","26-04-2013","Joydeep"
"Ambuja vinyl order","Rs50,000.00","Closed Lost","0.00","16-03-2013","Joydeep"
"Honey oak","Rs325,500.00","Closed Lost","0.00","30-03-2012","Joydeep"
"Grey Mocha","Rs135,000.00","Closed Lost","0.00","16-11-2013","Joydeep"
"Jagruti Dham Oldage home","Rs4,000,000.00","Closed Lost","0.00","07-09-2013","Joydeep"
"iiswbm","Rs90,000.00","Closed Lost","0.00","16-11-2013","Joydeep"
"coffee oak","Rs23,000.00","Closed Lost","0.00","20-10-2012","Joydeep"
"Calcutta Tolly Club SWF order","Rs175,000.00","Closed Lost","0.00","26-09-2012","Joydeep"
"sapale 3 strip","Rs100,000.00","Closed Lost","0.00","07-09-2013","Joydeep"
"Fort Group Deck Flooring","Rs800,000.00","Closed Lost","0.00","07-09-2013","Joydeep"
"show room","Rs30,219.00","Closed Lost","0.00","07-11-2012","Joydeep"
"Anjan Gupta,s LWF order","Rs50,000.00","Closed Lost","0.00","16-03-2013","Joydeep"
"12 Raja Basanta Rd, Appt.","Rs2,000,000.00","Closed Lost","0.00","12-08-2013","Joydeep"
"LWF order","Rs120,000.00","Closed Lost","0.00","07-01-2013","Joydeep"
"Ambuja Realty Development Limited","Rs1,233,414.00","Closed Lost","0.00","10-02-2012","Joydeep"
"EWF","Rs400,000.00","Closed Lost","0.00","15-07-2013","Joydeep"
"Balaji Ply LWF order","Rs30,000.00","Closed Lost","0.00","06-02-2013","Joydeep"
"Balaji Ply LWF order","Rs6,000.00","Closed Lost","0.00","08-09-2012","Joydeep"
"SHOWROOM LEGACY","Rs50,000.00","Closed Lost","0.00","20-10-2012","Joydeep"
"Vinyl order","Rs240,000.00","Closed Lost","0.00","20-04-2013","Joydeep"
"Harley LWF order","Rs500,000.00","Closed Lost","0.00","01-10-2013","Joydeep"
"Paradigm LWF order","Rs36,000.00","Closed Lost","0.00","20-04-2013","Joydeep"
"LWF-RIO(SOVEREIGN MAPLE)","Rs55,000.00","Closed Lost","0.00","21-06-2014","Joydeep"
"LWF Order","Rs254,910.00","Closed Lost","0.00","22-03-2012","Joydeep"
"Merlin LWF Order","Rs150,000.00","Closed Lost","0.00","10-07-2013","Joydeep"
"MAPEL","Rs80,000.00","Closed Lost","0.00","25-04-2013","Joydeep"
"owf  smooth","Rs16,000.00","Closed Lost","0.00","03-07-2013","Joydeep"
"PS Group LWF order","Rs45,000.00","Closed Lost","0.00","22-08-2013","Joydeep"
"EWF.AMERICAN WALNUT","Rs300,000.00","Closed Lost","0.00","26-04-2013","Joydeep"
"mocha","Rs72,000.00","Closed Lost","0.00","08-11-2012","Joydeep"
"OUT DOOR DECK","Rs270,000.00","Closed Lost","0.00","15-07-2013","Joydeep"
"walnut EWF","Rs95,000.00","Closed Lost","0.00","03-07-2013","Joydeep"
"Smoked oak","Rs27,000.00","Closed Lost","0.00","20-10-2012","Joydeep"
"Ravi Chopra outdoor deck","Rs47,000.00","Closed Lost","0.00","31-01-2013","Joydeep"
"ELAHI EXIM","Rs60,000.00","Closed Lost","0.00","26-04-2013","Joydeep"
"SHOW ROOM","Rs200,000.00","Closed Lost","0.00","20-10-2012","Joydeep"
"Mani Group EWF Order","Rs500,000.00","Closed Lost","0.00","07-09-2013","Joydeep"
"coffee oak","Rs69,395.00","Closed Lost","0.00","25-04-2013","Joydeep"
"grey mocha","Rs500,000.00","Closed Lost","0.00","19-06-2013","Joydeep"
"Wall Cllading","Rs150,000.00","Closed Lost","0.00","21-06-2014","Krishna"
"LWF-BASIC OAK PLANK DARK","Rs44,990.00","Closed Lost","0.00","21-06-2014","Krishna"
"LWF-RIO","Rs250,000.00","Closed Lost","0.00","21-06-2014","Krishna"
"BAMBOO NATURAL(VERTICAL)","Rs755,700.00","Closed Lost","0.00","21-06-2014","Krishna"
"HOMOGENOUS VINYL","Rs650,000.00","Closed Lost","0.00","07-04-2014","Krishna"
"swf-hotel projects","Rs1,545,750.00","Closed Lost","0.00","31-12-2013","Krishna"
"LWF-brazilian walnut","Rs44,075.00","Closed Lost","0.00","21-06-2014","Krishna"
"SOLID WOOD( BIRLA GROUP COMMERCIAL PROJECTS)","Rs1,250,000.00","Closed Lost","0.00","21-06-2014","Krishna"
"ASTOR(SUITE RENOVATION)","Rs185,000.00","Closed Lost","0.00","10-06-2014","Krishna"
"sports vinyl flooring","Rs277,090.00","Closed Lost","0.00","21-06-2014","Krishna"
"ARTIFICIAL TURF(RAMDEO MARBLES)","Rs14,500.00","Closed Lost","0.00","21-06-2014","Krishna"
"ASTOR HOTEL RENOVATION","Rs600,000.00","Closed Lost","0.00","21-06-2014","Krishna"
"LWF","Rs36,000.00","Closed Lost","0.00","16-11-2013","Krishna"
"ARTIFICIAL TURF(KERR & ASSOCIATES)","Rs170,000.00","Closed Lost","0.00","21-06-2014","Krishna"
"ONGC Karaikal","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Sports School","Rs1,500,000.00","Closed Lost","0.00","08-02-2013","Lakshmanan"
"Kids Play Zone - Indoor","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Natraj & Venkat","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Shuttle Court - Trichy","Rs0.00","Closed Lost","0.00","08-01-2013","Lakshmanan"
"Fortis - VIP & Luxury Suite Space","Rs0.00","Closed Lost","0.00","10-01-2013","Lakshmanan"
"MGMC - Research LAB","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"India Piston Cricket Ground Chennai","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Reyami Interior","Rs0.00","Closed Lost","0.00","10-01-2013","Lakshmanan"
"Sports Surface - GYM","Rs300,000.00","Closed Lost","0.00","08-02-2013","Lakshmanan"
"Aquaa World","Rs3,000,000.00","Closed Lost","0.00","31-03-2012","Lakshmanan"
"Antistatic Vinyl","Rs150,000.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Shuttle Court","Rs500,000.00","Closed Lost","0.00","29-02-2012","Lakshmanan"
"MGMC - GYM","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Sathya Sai College - Chennai","Rs1,500,000.00","Closed Lost","0.00","08-02-2013","Lakshmanan"
"Endura - Primo Premium","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Porur Club House","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"MWC Basket Ball Court","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Disha Interiors","Rs1,000,000.00","Closed Lost","0.00","28-01-2012","Lakshmanan"
"Crescent College - Volley Ball O/D","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Green Set Tennis Court Erode Project","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Edifice Office Project","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Lumaflex Omni Sports","Rs300,000.00","Closed Lost","0.00","05-02-2012","Lakshmanan"
"Individual Bungalow","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Dance School","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"LAB & New Block","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Apollo Wellness Center","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Apollo Trichy","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"GYM Flooring","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Endura Floors","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"JIPMER - New Blcok OPD & Screening","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"AIIMS","Rs0.00","Closed Lost","0.00","10-01-2013","Lakshmanan"
"Cauvery Build Tech","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Kamakshi Hospitals","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Salem Hospital","Rs0.00","Closed Lost","0.00","08-01-2013","Lakshmanan"
"Sports Flooring - Disha","Rs0.00","Closed Lost","0.00","08-01-2013","Lakshmanan"
"SVCE College","Rs5,000,000.00","Closed Lost","0.00","08-02-2013","Lakshmanan"
"Poorna Raj","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"MWC - Chennai","Rs130,000.00","Closed Lost","0.00","13-12-2012","Lakshmanan"
"Daimler India","Rs1,500,000.00","Closed Lost","0.00","31-01-2012","Lakshmanan"
"Sai Sudhir Infrastructure Ltd","Rs50,000.00","Closed Lost","0.00","31-12-2011","Lakshmanan"
"MGMC - New Block","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Commercial Project - Sumana Dinesh","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Club House","Rs0.00","Closed Lost","0.00","10-01-2013","Lakshmanan"
"Trichy Gym Space","Rs0.00","Closed Lost","0.00","10-01-2013","Lakshmanan"
"Instyle - ID Premier","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"LRI - Toro SC","Rs0.00","Closed Lost","0.00","04-12-2012","Lakshmanan"
"Sastra University","Rs0.00","Closed Lost","0.00","10-01-2013","Lakshmanan"
"EWF and LWF","Rs300,000.00","Closed Lost","0.00","22-10-2013","Mahendran"
"LWF - Mocha sherwood","Rs0.00","Closed Lost","0.00","04-12-2012","Mahendran"
"HPCL","Rs300,000.00","Closed Lost","0.00","31-12-2013","Mahendran"
"IPE Wall","Rs250,000.00","Closed Lost","0.00","31-12-2013","Mahendran"
"LWF - Cognac","Rs50,000.00","Closed Lost","0.00","22-05-2014","Mahendran"
"Heritage - Cognac","Rs0.00","Closed Lost","0.00","04-12-2012","Mahendran"
"IPE Long Deck","Rs700,000.00","Closed Lost","0.00","31-12-2013","Mahendran"
"Decors","Rs0.00","Closed Lost","0.00","04-12-2012","Mahendran"
"LWF - Cosy","Rs0.00","Closed Lost","0.00","04-12-2012","Mahendran"
"LWF - Cosy","Rs0.00","Closed Lost","0.00","04-12-2012","Mahendran"
"Vijay Decors","Rs0.00","Closed Lost","0.00","30-03-2013","Mahendran"
"EWF and SWF","Rs900,000.00","Closed Lost","0.00","31-12-2013","Mahendran"
"Dr. Anuradha","Rs0.00","Closed Lost","0.00","04-12-2012","Mahendran"
"EWF - Sapele","Rs180,000.00","Closed Lost","0.00","18-11-2013","Mahendran"
"Laminated - Basic","Rs100,000.00","Closed Lost","0.00","23-10-2013","Mahendran"
"SWF American Walnut","Rs300,000.00","Closed Lost","0.00","31-12-2013","Mahendran"
"RIO Sovereign","Rs35,000.00","Closed Lost","0.00","24-07-2014","Mahendran"
"IPE - Tile","Rs0.00","Closed Lost","0.00","04-12-2012","Mahendran"
"T-Profile","Rs2,000.00","Closed Lost","0.00","31-12-2013","Mahendran"
"LWF","Rs125,000.00","Closed Lost","0.00","31-12-2013","Mahendran"
"EWF - Teak","Rs500,000.00","Closed Lost","0.00","31-08-2013","Mahendran"
"LWF - Cosy, Basic","Rs0.00","Closed Lost","0.00","04-12-2012","Mahendran"
"LWF Infinite","Rs0.00","Closed Lost","0.00","30-03-2013","Mahendran"
"LWF Heritage or Infinite","Rs100,000.00","Closed Lost","0.00","31-05-2013","Mahendran"
"LWF","Rs500,000.00","Closed Lost","0.00","19-07-2013","Mahendran"
"LWF - Basic Teak","Rs100,000.00","Closed Lost","0.00","22-10-2013","Mahendran"
"Old World Walnut","Rs50,000.00","Closed Lost","0.00","23-10-2013","Mahendran"
"SRC Projects","Rs0.00","Closed Lost","0.00","10-01-2013","Mahendran"
"IPE-Tile","Rs100,000.00","Closed Lost","0.00","23-10-2013","Mahendran"
"LWF Casual","Rs0.00","Closed Lost","0.00","31-12-2013","Mahendran"
"Stair Case","Rs300,000.00","Closed Lost","0.00","22-10-2013","Mahendran"
"LWF Smoked Oak","Rs800,000.00","Closed Lost","0.00","31-12-2013","Mahendran"
"EWF Oak Plank","Rs600,000.00","Closed Lost","0.00","24-07-2014","Mahendran"
"LWF - Basic Oak Plank Dark","Rs0.00","Closed Lost","0.00","04-12-2012","Mahendran"
